,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
34,"647 Des Pionniers Ave, Balmoral, NB E8E 1B3, Canada",47.9812057,-66.4139737,"47.9812057,-66.4139737",ROOFTOP,ChIJGXvKC747mEwRlaOqk5gOHkk,premise,E8E 1B3,"Restigouche West 647 avenue des Pionniers Balmoral, New Brunswick E8E 1B3 Canada",1,OK
35,"691 Rue Principale, Petit-Rocher, NB E8J 1G1, Canada",47.7750776,-65.71547749999999,"47.7750776,-65.71547749999999",ROOFTOP,ChIJsSeji7HzmEwRIEvx80N681Q,street_address,E8J 1G1,"691 Principale Street Petit-Rocher, New Brunswick E8J 1G1 Canada",1,OK
36,"567 Coverdale Rd, Riverview, NB E1B 3K7, Canada",46.0632826,-64.809984,"46.0632826,-64.809984",ROOFTOP,ChIJibZE7aW5oEwRtnt3ft-KaWA,premise,E1B 3K7,"Riverview 567 Coverdale Road Riverview, New Brunswick E1B 3K7 Canada",1,OK
37,"70 Hampton Rd, Rothesay, NB E2E 5Y2, Canada",45.3938719,-65.9860498,"45.3938719,-65.9860498",ROOFTOP,ChIJI2YrbLisp0wRwQJ4Ij8ySlI,street_address,E2E 5Y2,"Rothesay 70 Hampton Road Rothesay, New Brunswick E2E 5L5 Canada",1,OK
38,"1210 Loch Lomond Rd, Saint John, NB E2J 1Z6, Canada",45.3032109,-65.9923044,"45.3032109,-65.9923044",ROOFTOP,ChIJMdyJ2Deyp0wRAgpEeB_gWws,premise,E2J 1Z6,"Saint John East 1210 Loch Lomond Road Saint John, New Brunswick E2J 1Z6 Canada",1,OK
39,"96 St John St, Fredericton, NB E3B 1C5, Canada",45.9594525,-66.6368514,"45.9594525,-66.6368514",ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,street_address,E3B 1C5,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK
40,"640 Manawagonish Rd, Saint John, NB E2M 4P5, Canada",45.256789,-66.10045199999999,"45.256789,-66.10045199999999",ROOFTOP,ChIJy24DH8G0p0wR7qTzjLek00c,"establishment,premise",E2M 4P5,"Saint John Lancaster 640 Manawagonish Road Saint John, New Brunswick E2M 3W5 Canada",1,OK
41,"290 Main St, Shediac, NB E4P 2A7, Canada",46.2194026,-64.54924439999999,"46.2194026,-64.54924439999999",ROOFTOP,ChIJ49ScyteQoEwR2on53NFN4hQ,"city_hall,establishment,local_government_office,point_of_interest",E4P 2A7,"Shediac-Beaubassin-Cap-Pelé 328 Main Street Shediac, New Brunswick E4P 2E3 Canada",1,OK
42,"710 Queen St, Fredericton, NB E3B 1C5, Canada",45.9591756,-66.63585669999999,"45.9591756,-66.63585669999999",ROOFTOP,ChIJ04jT7KYYpEwRQCUboZr0FmU,street_address,E3B 1C5,"East Block 710 Queen Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK
43,"401 Main St, Blackville, NB E9B 1T3, Canada",46.7577456,-65.8144192,"46.7577456,-65.8144192",ROOFTOP,ChIJ31SBsLcqokwROtObGonMO48,"establishment,point_of_interest",E9B 1T3,"Southwest Miramichi-Bay du Vin 137 Main Street Blackville, New Brunswick E9B 1N9 Canada",1,OK
44,"96 St John St, Fredericton, NB E3B 1C5, Canada",45.9594525,-66.6368514,"45.9594525,-66.6368514",ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,street_address,E3B 1C5,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK
45,"4104 Rue Principale, Tracadie-Sheila, NB E1X 1B8, Canada",47.4878469,-64.9184566,"47.4878469,-64.9184566",ROOFTOP,ChIJUQOomAJJn0wReUkGZeSpOAk,premise,E1X 1B8,"Tracadie-Sheila 4104 rue Principale Tracadie, New Brunswick E1X 1B8 Canada",1,OK
46,"385 Boulevard Broadway, Grand-Sault, NB E3Z 2K5, Canada",47.0459073,-67.74325209999999,"47.0459073,-67.74325209999999",ROOFTOP,ChIJ05pov_3QvEwRw5DvFV6qAgw,premise,E3Z 2K5,"Victoria-La Vallée 385 Broadway Blvd. Grand Falls, New Brunswick E3Z 2K5 Canada",1,OK
47,"78 Milltown Blvd, Saint Stephen, NB E3L 1G6, Canada",45.1920831,-67.2791663,"45.1920831,-67.2791663",ROOFTOP,ChIJn8ZSKzH5pUwRv0fimj0ton8,premise,E3L 1G6,"Saint Croix 78 Milltown Boulevard St Stephen, New Brunswick E3L 1G6 Canada",2,OK
