,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,type,postcode,input_string,number_of_results,status
107,"132 Boulevard Sainte-Rose, Laval, QC H7L 2N4, Canada",45.6170476,-73.7820474,"45.6170476,-73.7820474",ROOFTOP,ChIJAUuEp-cmyUwRsB4W1sYOO88,premise,H7L 2N4,"132, boulevard Sainte-Rose Laval (Quebec) H7L 1K4",1,OK
108,"223 Rue Sainte-Catherine Bureau 100-200, Saint-Constant, QC J5A 1R5, Canada",45.3847088,-73.5864276,"45.3847088,-73.5864276",ROOFTOP,EksyMjMgUnVlIFNhaW50ZS1DYXRoZXJpbmUgQnVyZWF1IDEwMC0yMDAsIFNhaW50LUNvbnN0YW50LCBRQyBKNUEgMVI1LCBDYW5hZGEiKhooChYKFAoSCQWw8w0TEslMEa57uavjfN68Eg5CdXJlYXUgMTAwLTIwMA,subpremise,J5A 1R5,"223, rue Sainte-Catherine Bureau 100-200 Saint-Constant (Quebec) J5A 2H3",1,OK
109,"230 Rue King Ouest Bureau 301, Sherbrooke, QC J1H 1P9, Canada",45.3998932,-71.89251759999999,"45.3998932,-71.89251759999999",ROOFTOP,Ej0yMzAgUnVlIEtpbmcgT3Vlc3QgQnVyZWF1IDMwMSwgU2hlcmJyb29rZSwgUUMgSjFIIDFQOSwgQ2FuYWRhIiYaJAoWChQKEgmRwxwwELO3TBFqAuMAh936VxIKQnVyZWF1IDMwMQ,subpremise,J1H 1P9,"230, rue King Ouest Bureau 301 Sherbrooke (Quebec) J1H 1P9",1,OK
110,"607 QC-201, Saint-Clet, QC J0P 1S0, Canada",45.3530751,-74.2244453,"45.3530751,-74.2244453",ROOFTOP,ChIJfTDKObO0zkwRsq5Z52-w8Rk,street_address,J0P 1S0,"607, route 201 Saint-Clet (Quebec) J0P 1S0",1,OK
111,"498 Boulevard Roland-Therrien, Longueuil, QC J4H 3V9, Canada",45.545751,-73.493366,"45.545751,-73.493366",ROOFTOP,ChIJi_D5KqEcyUwRf-1hDZ4udmY,street_address,J4H 3V9,"498, boulevard Roland-Therrien Longueuil (Quebec) J4H 3V9",1,OK
112,"275 Rue du Parvis Bureau 300, Québec, QC G1K 6G7, Canada",46.8164648,-71.224575,"46.8164648,-71.224575",ROOFTOP,EjkyNzUgUnVlIGR1IFBhcnZpcyBCdXJlYXUgMzAwLCBRdcOpYmVjLCBRQyBHMUsgNkc3LCBDYW5hZGEiJhokChYKFAoSCa9sdFhylrhMEQCF0OqKIJEaEgpCdXJlYXUgMzAw,subpremise,G1K 6G7,"275, rue du Parvis Bureau 300 Québec (Quebec) G1K 6G7",1,OK
113,"3455 Boulevard de la Pinière local 101, Terrebonne, QC J6X 3M8, Canada",45.7241074,-73.6784918,"45.7241074,-73.6784918",ROOFTOP,EkczNDU1IEJvdWxldmFyZCBkZSBsYSBQaW5pw6hyZSBsb2NhbCAxMDEsIFRlcnJlYm9ubmUsIFFDIEo2WCAzTTgsIENhbmFkYSIlGiMKFgoUChIJLaIQaajeyEwRuiQ0VqOKFBsSCWxvY2FsIDEwMQ,subpremise,J6X 3M8,"3455, boulevard de la Pinière local 101 Terrebonne (Quebec) J6X 0A1",1,OK
114,"1500 Rue Royale Bureau 180, Trois-Rivières, QC G9A 2H6, Canada",46.34220140000001,-72.5446102,"46.34220140000001,-72.5446102",ROOFTOP,EjcxNTAwIFJ1ZSBSb3lhbGUgQnVyZWF1IDE4MCwgVHJvaXMtUml2acOocmVzLCBRQywgQ2FuYWRhIiYaJAoWChQKEgkRPa2DAcbHTBHWWXD8kYwWyRIKQnVyZWF1IDE4MA,subpremise,G9A 2H6,"1500, rue Royale Bureau 180 Trois-Rivières (Quebec) G9A 6E6",1,OK
115,"462 3e Rue Bureau 12, Chibougamau, QC G8P 1N7, Canada",49.9135003,-74.36178009999999,"49.9135003,-74.36178009999999",ROOFTOP,EjU0NjIgM2UgUnVlIEJ1cmVhdSAxMiwgQ2hpYm91Z2FtYXUsIFFDIEc4UCAxTjcsIENhbmFkYSIlGiMKFgoUChIJd0IrynT15kwRkRR25VZK0RASCUJ1cmVhdSAxMg,subpremise,G8P 1N7,"462, 3e Rue Bureau 12 Chibougamau (Quebec) G8P 1N7",1,OK
116,"5610 Chemin de Chambly, Saint-Hubert, QC J3Y 3P8, Canada",45.50186,-73.4152714,"45.50186,-73.4152714",ROOFTOP,ChIJhwEmnTcEyUwRHUMLtWv7BFw,premise,J3Y 3P8,"5610, chemin de Chambly Saint-Hubert (Quebec) J3Y 7E5",1,OK
117,"1170 Boulevard Lebourgneuf #311, Québec, QC G2K 2E3, Canada",46.8363781,-71.2924544,"46.8363781,-71.2924544",ROOFTOP,ChIJAQBAT-mXuEwRn0bctveSJ6E,subpremise,G2K 2E3,"1170, boulevard Lebourgneuf Bureau 311 Québec (Quebec) G2K 2E3",1,OK
118,"416 Boulevard Harwood, Vaudreuil-Dorion, QC J7V, Canada",45.378504,-74.0193479,"45.378504,-74.0193479",RANGE_INTERPOLATED,EjM0MTYgQm91bGV2YXJkIEhhcndvb2QsIFZhdWRyZXVpbC1Eb3Jpb24sIFFDLCBDYW5hZGEiGxIZChQKEgkHGGnPGUjJTBGxpLDTgN0g8xCgAw,street_address,J7V,"416, boulevard Harwood Vaudreuil-Dorion (Quebec) J7V 7H4",1,OK
119,"1625 Boulevard Lionel-Boulet Bureau 103, Varennes, QC J3X 1P7, Canada",45.62520629999999,-73.38107,"45.62520629999999,-73.38107",ROOFTOP,EkUxNjI1IEJvdWxldmFyZCBMaW9uZWwtQm91bGV0IEJ1cmVhdSAxMDMsIFZhcmVubmVzLCBRQyBKM1ggMVA3LCBDYW5hZGEiJhokChYKFAoSCXVBZeUM_chMER6b86bo-uDeEgpCdXJlYXUgMTAz,subpremise,J3X 1P7,"1625, boulevard Lionel-Boulet Bureau 103 Varennes (Quebec) J3X 1P7",1,OK
120,"4110 Rue Wellington Bureau 301, Verdun, QC H4G 1V7, Canada",45.4625059,-73.56688030000001,"45.4625059,-73.56688030000001",ROOFTOP,Ejo0MTEwIFJ1ZSBXZWxsaW5ndG9uIEJ1cmVhdSAzMDEsIFZlcmR1biwgUUMgSDRHIDFWNywgQ2FuYWRhIiYaJAoWChQKEglFOsglZBDJTBGcs2mxOc9T6hIKQnVyZWF1IDMwMQ,subpremise,H4G 1V7,"4110, rue Wellington Bureau 301 Verdun (Quebec) H4G 1V7",1,OK
121,"3333 Rue Jarry E #200, Montréal, QC H1Z 2E5, Canada",45.56492180000001,-73.6094955,"45.56492180000001,-73.6094955",ROOFTOP,ChIJSbqn9M0eyUwRzdxTttMdZ-w,"establishment,gym,health,point_of_interest",H1Z 2E5,"3333, Jarry Est Bureau 202 Montréal (Quebec) H1Z 2E5",1,OK
122,"4650 Boulevard des Laurentides Bureau 415, Laval, QC H7K 2J4, Canada",45.6156859,-73.74075789999999,"45.6156859,-73.74075789999999",ROOFTOP,EkQ0NjUwIEJvdWxldmFyZCBkZXMgTGF1cmVudGlkZXMgQnVyZWF1IDQxNSwgTGF2YWwsIFFDIEg3SyAySjQsIENhbmFkYSImGiQKFgoUChIJnR-IKSYhyUwRFq89TpJRBWsSCkJ1cmVhdSA0MTU,subpremise,H7K 2J4,"4650, boulevard des Laurentides Bureau 415 Laval (Quebec) H7K 2J4",1,OK
123,"1134 Rue Sainte-Catherine O 8e étage Bureau 801, Montréal, QC H3B 1H5, Canada",45.49944,-73.5732376,"45.49944,-73.5732376",ROOFTOP,EkcxMTM0IFJ1ZSBTYWludGUtQ2F0aGVyaW5lIE8gOGUgw6l0YWdlIEJ1cmVhdSA4MDEsIE1vbnRyw6lhbCwgUUMsIENhbmFkYSIwGi4KFgoUChIJiSNezUMayUwR4BMZ9THIWgwSFDhlIMOpdGFnZSBCdXJlYXUgODAx,subpremise,H3B 1H5,"1134, rue Sainte-Catherine Ouest, 8e étage Bureau 801 Montréal (Quebec) H3B 1H4",1,OK
124,"625 Chemin Principal, Cap-aux-Meules, QC G4T, Canada",47.3726728,-61.87879759999999,"47.3726728,-61.87879759999999",RANGE_INTERPOLATED,EjA2MjUgQ2hlbWluIFByaW5jaXBhbCwgQ2FwLWF1eC1NZXVsZXMsIFFDLCBDYW5hZGEiGxIZChQKEgmRySHM3wthSxGN8R2KTUCduxDxBA,street_address,G4T,"625, Chemin Principal Cap-aux-Meules (Quebec) G4T 1G3",1,OK
