District name,,,,Office type,Address,,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,postcode,input_string,number_of_results,status,distance to SK parli. (1230.828 is NULL**)
Prince Albert Northcote,,,,constituency,"5 – 1499 10th Avenue East Prince Albert, SK",26,"5 10 Ave E, Prince Albert, SK S6V 0G4, Canada",53.2100123,-105.7219036,"53.2100123,-105.7219036",RANGE_INTERPOLATED,Ei01IDEwIEF2ZSBFLCBQcmluY2UgQWxiZXJ0LCBTSyBTNlYgMEc0LCBDYW5hZGEiGhIYChQKEglBZa3pDHoBUxHRM4FoG9_i1RAF,S6V 0G4,"5 – 1499 10th Avenue East Prince Albert, SK",1,OK,2316.525
Regina Coronation Park,,,,constituency,"1802 – 9th Avenue North Regina, SK",27,"1802 9th Ave N, Regina, SK S4R 7T4, Canada",50.4847695,-104.607314,"50.4847695,-104.607314",ROOFTOP,ChIJQy0kZh4fHFMRzBq_gclt5ik,S4R 7T4,"1802 – 9th Avenue North Regina, SK",1,OK,1991.563
Regina Douglas Park,,,,constituency,"1440 Broadway Avenue Regina, SK",28,"1440 Broadway Ave, Regina, SK S4P 1E2, Canada",50.4381356,-104.601021,"50.4381356,-104.601021",ROOFTOP,ChIJuR7lojoeHFMRYDpleF4pbbU,S4P 1E2,"1440 Broadway Avenue Regina, SK",1,OK,1984.394
Regina Elphinstone-Centre,,,,constituency,"1660 Pasqua Street Regina, SK",29,"1660 Pasqua St, Regina, SK S4T 4L9, Canada",50.4530723,-104.6411572,"50.4530723,-104.6411572",ROOFTOP,ChIJebmX2pMfHFMR7Ef-tcOliQI,S4T 4L9,"1660 Pasqua Street Regina, SK",1,OK,1986.519
Regina Gardiner Park,,,,constituency,"Unit 2A 3850 Green Falls Drive
Regina, SK",30,"2A-3850 Green Falls Dr, Regina, SK S4V 3M1, Canada",50.4166345,-104.517762,"50.4166345,-104.517762",ROOFTOP,EjIyQS0zODUwIEdyZWVuIEZhbGxzIERyLCBSZWdpbmEsIFNLIFM0ViAzTTEsIENhbmFkYSIeGhwKFgoUChIJcf1LnB-gHlMRsf_7-bKbFmgSAjJB,S4V 3M1,"Unit 2A 3850 Green Falls Drive
Regina, SK",1,OK,1986.102
Regina Lakeview,,,,constituency,"300 – 2222 13th Avenue Regina, SK",31,"2222 13th Ave, Regina, SK S4P 3M7, Canada",50.4456327,-104.612528,"50.4456327,-104.612528",ROOFTOP,ChIJ8w68UD8eHFMR35FaStR-THU,S4P 3M7,"300 – 2222 13th Avenue Regina, SK",1,OK,1983.608
Regina Northeast,,,,constituency,"1442 Lindsay Street Regina, SK",32,"1442 Lindsay St, Regina, SK S4N 3B6, Canada",50.4559648,-104.5853163,"50.4559648,-104.5853163",ROOFTOP,ChIJVV1TPrEfHFMRjpQF5F0yvIA,S4N 3B6,"1442 Lindsay Street Regina, SK",1,OK,1987.518
Regina Pasqua,,,,constituency,"#101G - 2965 Gordon Rd. Regina, SK",33,,,,,,,,"#101G - 2965 Gordon Rd. Regina, SK",0,INVALID_REQUEST,1230.828
Regina Rochdale,,,,constituency,"145 Dorothy Street Regina, SK",34,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK,1992.841
Regina Rosemont,,,,constituency,"145 Dorothy Street Regina, SK",35,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK,1992.841
